
Nombre,Población (millones),Continente,Superficie (km²)
Argentina,46.0,América del Sur,2780400
España,47.5,Europa,505990
Japón,125.0,Asia,377975
Canadá,39.0,América del Norte,9984670
Sudáfrica,60.0,África,1219090
Brasil,214.0,América del Sur,8515767
México,132.0,América del Norte,1964375
Alemania,84.0,Europa,357022
India,1410.0,Asia,3287263
China,1441.0,Asia,9596961
Australia,26.0,Oceania,7692024
Egipto,111.0,África,1010408
Francia,67.0,Europa,643801
Rusia,146.0,Europa/Asia,17098242
Corea del Sur,52.0,Asia,100210
Italia,60.0,Europa,301340
Reino Unido,68.0,Europa,243610
Turquía,85.0,Europa/Asia,783562
Irán,86.0,Asia,1648195
Tailandia,70.0,Asia,513120
Indonesia,276.0,Asia,1904569
Pakistán,240.0,Asia,881913
Bangladesh,171.0,Asia,148460
Vietnam,100.0,Asia,331212
Filipinas,113.0,Asia,300000
Arabia Saudita,36.0,Asia,2149690
Nigeria,223.0,África,923770
Etiopía,126.0,África,1104300
Kenya,55.0,África,580367
Argelia,45.0,África,2381741
Marruecos,37.0,África,446550
Perú,34.0,América del Sur,1285216
Colombia,54.0,América del Sur,1141748
Chile,19.0,América del Sur,756102
Venezuela,29.0,América del Sur,916445
Uruguay,3.5,América del Sur,176215
Bolivia,12.0,América del Sur,1098581
Nueva Zelanda,5.0,Oceania,268021
Fiyi,0.9,Oceania,18274
Noruega,5.5,Europa,385207
Suecia,10.0,Europa,450295
Finlandia,5.5,Europa,338455
Grecia,10.5,Europa,131957
Polonia,38.0,Europa,312679
Ucrania,43.0,Europa,603550
Portugal,10.0,Europa,92212
Bélgica,11.5,Europa,30528
Países Bajos,17.0,Europa,41543
Suiza,8.5,Europa,41284
Austria,9.0,Europa,83879
Hungría,9.6,Europa,93030
República Checa,10.7,Europa,78865
Eslovaquia,5.5,Europa,49037
Irlanda,5.0,Europa,70273
Dinamarca,5.8,Europa,42933
Islandia,0.4,Europa,103000
Luxemburgo,0.6,Europa,2586
Malta,0.5,Europa,316
Letonia,1.9,Europa,64589
Lituania,2.8,Europa,65300
Estonia,1.3,Europa,45227
Belarús,9.4,Europa,207600
Georgia,3.7,Europa/Asia,69700
Armenia,3.0,Asia,29743
Azerbaiyán,10.1,Europa/Asia,86600
Moldavia,2.6,Europa,33846
Kazajistán,19.0,Asia,2724900
Uzbekistán,37.0,Asia,447400
Turkmenistán,6.0,Asia,491210
Kirguistán,6.7,Asia,199951
Tayikistán,10.5,Asia,143100
Afganistán,42.0,Asia,652230
Sri Lanka,22.0,Asia,65610
Corea del Norte,25.0,Asia,120538
Myanmar,54.0,Asia,676578
Laos,7.6,Asia,236800
Camboya,17.0,Asia,181035
Malasia,33.0,Asia,330803
Singapur,5.9,Asia,728
Brunei,0.4,Asia,5765
Yemen,33.0,Asia,527968
Oman,5.5,Asia,309500
Siria,23.0,Asia,185180
Iraq,45.0,Asia,438317
Cuba,11.3,América del Norte,109884
Haití,12.0,América del Norte,27750
República Dominicana,11.0,América del Norte,48730
Jamaica,3.0,América del Norte,10991
Guatemala,19.0,América del Norte,108889
Honduras,10.5,América del Norte,112492
El Salvador,6.5,América del Norte,21041
Nicaragua,7.0,América del Norte,130373
Costa Rica,5.2,América del Norte,51100
Panamá,4.5,América del Norte,75417


